source_document_id,source,reference,target_document_ids,target_sources,example_chunk_index
66ec7da0-8968-4dee-8d43-811f68f8e751,3rdAugust2009-FRA compliance.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
6707fb7a-13d7-4f32-88cb-fbfac723872b,Construction of rope ways in the Hilly States of the Country 29.11.24.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
6cc634bf-20a3-4027-8a34-6610e0e23490,Amendments of Para 4.4.3 of Chapter-4 of the Guidelines given under the Handbook of the Forest _Conservation_ Act_ 1980 13.09.2019.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
6fc24079-c509-4b31-b7c9-8961aab62304,fc-18012013.pdf,"the Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
7055fc9b-2f5d-4de1-bb51-262696c4eb5a,guidelines-revision of para 4.4 -21.03.11.docx,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
70582a7f-9df2-4168-9698-1cbe5e1069ea,Mining leases _ML_ applications MMDR Act 08.02.2017.docx,Forest Conservation Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
73d1a272-4d02-404e-9fc4-9e8782a054e0,Guidelines for using the afforestation raised over GCP 16.09.25.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
75a880a2-99b9-45f9-93d9-3babe9f26e2f,PREREQ_1.PDF,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
75c486d9-11d1-400d-92e5-76f7b5879831,survey investigation prospecting guidelines 2010.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
76067c7f-6599-48ce-8c40-47578013be65,Acceptance of reclaimed non-forest land _biological and under technical reclamation_ by CIL and its subsidiaries for the purpose of CA 17.10.2019.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
76778a7d-6f06-4052-9bfb-71847ce03dcd,New Lessee-Lumpsum 7.5 lakh.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
76fee20e-dcb9-48b5-83d6-df5bc3f246cc,FCAmendment2023.pdf,"the Forest

(Conservation) Amendment Act, 2023",0968db51-29d7-4563-84d5-df3a1ef17e05; 18073af1-0a38-4941-a47e-9a80d45a9c11,247866.pdf; FCAmendmentAct2023.pdf,0
77738cc0-2153-47ad-b927-45fe62477776,Issue pertaining to the State Forest Department in execution of doubling of Railway Line between Hatia and Bondamunda 17.01.2020.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
78e794c0-ce3d-4f68-b2b4-e846a51f82fa,simplified procedure renewal of mining lease 2013.pdf,the Forest (Conservation) Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
7a052d97-7d98-4144-a0ef-a85b39ad4f90,Submission of proposals to obtain appoval mining lease 30.11.2016.pdf,the Forest (Conservation) Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
7dc99a35-7694-492d-9ffd-29c2bda8e1cb,fc-guidlines-2011-requirement of differential gps total station survey.pdf,"Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
7e14225a-fb21-40d5-8c53-2c722b893006,Temporary use of Forest land and application of FC Act_ 1980 11.10.2019.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
