filename,size_bytes,uploaded_at_utc,document_record_status,latest_job_status,failure_category,failure_reason,reason_source,attempt_count,latest_job_id,job_created_at_utc,job_started_at_utc,job_finished_at_utc,document_updated_at_utc
"Sabik Forest-GoI 2015.pdf",1007002,2026-07-25T14:08:35.188000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,0991ab93-8144-4abf-8ab9-7d7f7e9c5a88,2026-07-25T14:08:40.727235+00:00,2026-07-25T14:15:49.895054+00:00,2026-07-25T14:15:50.835771+00:00,
"Safety Zone-Calculation of safety zone raise by Government of Odisha in case of Gandhamardan _Block-B_ mining lease of OMC 02.02.18-.pdf",66300,2026-07-28T13:12:56.920000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ef6f75ae-93e3-4bb0-b3cc-97448b876552,2026-07-28T13:13:03.462858+00:00,2026-07-28T13:20:11.039571+00:00,2026-07-28T13:20:12.36684+00:00,
"Sample Enumeration of trees.pdf",162747,2026-07-25T14:08:34.941000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,cb9efe49-2d2b-451b-b0cd-4709bf068669,2026-07-25T14:08:40.486787+00:00,2026-07-25T14:15:46.700603+00:00,2026-07-25T14:15:47.650204+00:00,
"Section 2 _iii_ FC Act 1980 filling online form for seeking approval 17.11.2016.pdf",401625,2026-08-04T12:24:34.674000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Section 2 _iii_ FC Act 1980 filling online form for seeking approval 17.11.2016.pdf: startxref not found","ingest_jobs.error",1,b4d9ed07-ea4a-4560-b470-c0a552bfe4e4,2026-08-04T12:24:42.595705+00:00,2026-08-04T12:31:51.648854+00:00,2026-08-04T12:31:52.711605+00:00,
"Submission of Geo-referenced digital data for applications under Forest _Conservation_ Act_ 1980 03.09.2018.pdf",41310,2026-07-28T12:45:29.540000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,fb126440-c85d-4fd3-b33e-6f2e6be7dfd4,2026-07-28T12:45:35.24501+00:00,2026-07-28T12:52:55.251597+00:00,2026-07-28T12:52:56.465796+00:00,
"Submission of proposals to obtain approval entire forest land mining lease 20.06.2016.pdf",1259955,2026-08-04T12:24:47.386000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Submission of proposals to obtain approval entire forest land mining lease 20.06.2016.pdf: startxref not found","ingest_jobs.error",1,821d502c-ca14-4f54-9950-82e7761f3804,2026-08-04T12:24:52.761526+00:00,2026-08-04T12:32:32.853434+00:00,2026-08-04T12:32:34.492655+00:00,
"Submission of proposals to obtain approval mining lease 31.03.2016.pdf",921060,2026-08-04T12:24:54.865000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Submission of proposals to obtain approval mining lease 31.03.2016.pdf: startxref not found","ingest_jobs.error",1,bc8d4412-d236-4212-bc7f-7e445e953663,2026-08-04T12:25:00.794538+00:00,2026-08-04T12:32:37.485467+00:00,2026-08-04T12:32:38.505997+00:00,
"Tree Felling additional guidelines.pdf",11374361,2026-07-25T14:09:13.721000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,3019d9db-ba78-4cbd-85ac-981f5e904397,2026-07-25T14:09:19.99921+00:00,2026-07-25T14:18:35.34535+00:00,2026-07-25T14:18:36.717807+00:00,
"Tree Felling guidelines FECC.pdf",11374361,2026-07-25T14:09:13.806000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,51ddcdca-62f0-4770-9b8f-44ef2c312600,2026-07-25T14:09:20.21849+00:00,2026-07-25T14:18:37.047071+00:00,2026-07-25T14:18:38.42105+00:00,
"Tree Felling in ESZ Competent Authority.pdf",1589688,2026-07-25T09:44:30.450000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,0e37f8a6-0903-42e0-bde0-d048ea4c597b,2026-07-25T09:44:37.615743+00:00,2026-07-25T09:52:35.914044+00:00,2026-07-25T09:52:36.89158+00:00,
"Trees Felling MoEFCC guideline 2005.pdf",604284,2026-07-25T14:09:23.684000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,6c1b665e-af50-4fa7-ba4d-ace0ea4a6f5c,2026-07-25T14:09:29.494515+00:00,2026-07-25T14:18:39.475669+00:00,2026-07-25T14:18:40.422418+00:00,
VALIDI_1.PDF,755055,2026-07-27T14:48:19.423000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,515afd08-7332-474b-8a96-7758fa194ade,2026-07-27T14:48:24.667844+00:00,2026-07-27T14:55:47.331718+00:00,2026-07-27T14:55:48.400579+00:00,
"Wildlife Protection Amendment Act 2006.pdf",4953459,2026-07-27T12:48:22.027000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,69f256ad-b88d-471b-9018-90d194e0a670,2026-07-27T12:48:28.017864+00:00,2026-07-27T13:05:49.910809+00:00,2026-07-27T13:05:50.947838+00:00,
"environmental protection_act_1986.pdf",6345182,2026-07-27T12:47:18.758000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,c9ca0403-7d4b-4cd0-aff2-a9601e1ca63f,2026-07-27T12:47:24.642402+00:00,2026-07-27T13:05:42.096146+00:00,2026-07-27T13:05:43.944824+00:00,
"extending the dispensation to NHIDCL 19.04.2018.pdf",106080,2026-07-28T12:45:02.406000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ee3ed215-0d23-4517-be7a-8194cc254ba3,2026-07-28T12:45:07.681003+00:00,2026-07-28T12:52:25.465685+00:00,2026-07-28T12:52:26.668523+00:00,
"guidelines-revision of para 4.4 -21.03.11.pdf",606624,2026-08-04T12:51:25.996000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Cannot find Root object in pdf","ingest_jobs.error",1,609cf6ce-4ba1-4f0c-b465-4e0413feee91,2026-08-04T12:51:33.069028+00:00,2026-08-04T12:58:59.304211+00:00,2026-08-04T12:59:00.440189+00:00,
"provision of transferring equivalent non-forest land by Government Departments for compensatory afforestation 19.01.2017.pdf",486285,2026-08-03T16:14:19.237000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF provision of transferring equivalent non-forest land by Government Departments for compensatory afforestation 19.01.2017.pdf: startxref not found","ingest_jobs.error",1,8f0bc55d-1189-4151-a3c3-3b039e123f76,2026-08-03T16:14:32.691883+00:00,2026-08-03T16:21:45.586666+00:00,2026-08-03T16:21:46.780146+00:00,
"revision of para 4.4 -17.02.2011.pdf",407689,2026-08-04T13:08:36.342000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Cannot find Root object in pdf","ingest_jobs.error",1,8d76b6f7-bc1e-4296-ad58-67c23d5a238f,2026-08-04T13:08:42.246154+00:00,2026-08-04T13:19:47.583963+00:00,2026-08-04T13:19:48.705217+00:00,\n
